set,leaf_id,order,truth,R1,R2,R3,R4,R5,R6,R7,R8,R9
1,1,6,11,5,3,5,5,10,15,10,10,5
1,2,10,13,5,2,5,6,10,5,10,5,10
1,3,20,15,5,4,7,3,15,5,15,10,10
1,4,12,23,10,6,10,8,35,15,20,10,20
1,5,2,27,20,15,30,22,45,75,60,30,20
1,6,1,31,25,20,25,20,50,70,50,40,30
1,7,4,42,55,18,35,25,80,50,70,45,35
1,8,18,42,40,44,40,12,65,70,50,20,55
1,9,11,43,20,28,35,10,65,20,60,30,40
1,10,7,45,60,40,60,15,70,65,70,40,15
1,11,15,46,35,37,40,18,65,85,70,35,50
1,12,19,47,40,31,50,15,70,75,60,25,60
1,13,8,48,65,35,75,20,75,80,70,40,20
1,14,14,50,35,42,50,20,70,80,70,35,50
1,15,17,50,45,56,50,15,60,75,60,35,55
1,16,13,51,40,45,60,25,70,85,80,40,65
1,17,3,53,55,50,60,35,85,80,80,50,60
1,18,16,60,65,65,65,30,75,90,85,45,85
1,19,5,64,75,70,70,45,90,90,85,60,90
1,20,9,68,85,75,85,60,90,90,90,65,75
2,1,3,11,5,3,5,7,15,10,15,10,3
2,2,2,13,5,4,7,5,10,10,20,10,3
2,3,18,15,5,3,5,7,15,10,25,10,5
2,4,19,23,10,6,10,10,35,15,35,10,10
2,5,5,27,20,12,25,12,45,65,50,20,10
2,6,12,31,20,16,15,12,40,25,30,15,10
2,7,4,42,35,34,50,18,60,75,80,25,15
2,8,20,42,20,44,40,20,50,50,65,30,20
2,9,14,43,25,22,30,15,50,60,60,25,20
2,10,11,45,40,52,35,20,65,65,50,25,12
2,11,8,46,45,55,50,20,60,50,60,25,25
2,12,17,47,35,48,35,15,50,45,60,25,20
2,13,10,48,40,43,40,18,60,60,60,25,20
2,14,9,50,50,47,60,18,60,60,60,30,30
2,15,16,50,40,35,40,30,65,50,65,30,30
2,16,1,51,40,53,50,25,65,65,80,40,35
2,17,15,53,40,61,50,20,60,50,70,35,25
2,18,7,60,75,70,65,35,70,80,80,50,75
2,19,6,64,80,80,85,60,85,95,90,60,90
2,20,13,68,85,85,85,65,90,90,90,65,85
